adduser	3.152	install ok installed
adwaita-icon-theme	48.1-1	install ok installed
alsa-utils	1.2.14-1	install ok installed
antlr	2.7.7+dfsg-14	install ok installed
apt	3.0.3	install ok installed
apt-utils	3.0.3	install ok installed
armbian-bsp-cli-orangepi5-ultra-vendor	26.11.0-trunk.35	install ok installed
armbian-config	26.8.0-trunk.426.0829.175228	install ok installed
armbian-firmware	26.11.0-trunk.35	install ok installed
at-spi2-common	2.56.2-1+deb13u1	install ok installed
autoconf	2.72-3.1	install ok installed
automake	1:1.17-4	install ok installed
autopoint	0.23.1-2	install ok installed
autotools-dev	20240727.1	install ok installed
base-files	26.11.0-trunk.35-13.8+deb13u6-trixie	install ok installed
base-passwd	3.6.7	install ok installed
bash	5.2.37-2+b9	install ok installed
bash-completion	1:2.16.0-7	install ok installed
bc	1.07.1-4+b1	install ok installed
bcmdhd-sdio-dkms	101.10.591.52.27-6	install ok installed
binutils	2.44-3	install ok installed
binutils-aarch64-linux-gnu	2.44-3	install ok installed
binutils-common	2.44-3	install ok installed
bison	2:3.8.2+dfsg-1+b2	install ok installed
bsdextrautils	2.41.5-0+deb13u1	install ok installed
bsdutils	1:2.41.5-0+deb13u1	install ok installed
btop	1.3.2-0.1	install ok installed
btrfs-progs	6.14-1	install ok installed
build-essential	12.12	install ok installed
bzip2	1.0.8-6	install ok installed
ca-certificates	20250419	install ok installed
ca-certificates-java	20240118	install ok installed
cmake	3.31.6-2	install ok installed
cmake-data	3.31.6-2	install ok installed
cmatrix	2.0-6+b1	install ok installed
comerr-dev	2.1-1.47.2-3+b11	install ok installed
console-setup	1.242~deb13u1	install ok installed
console-setup-linux	1.242~deb13u1	install ok installed
coreutils	9.7-3	install ok installed
cpio	2.15+dfsg-2	install ok installed
cpp-14	14.2.0-19	install ok installed
cpp-14-aarch64-linux-gnu	14.2.0-19	install ok installed
cpp	4:14.2.0-1	install ok installed
cpp-aarch64-linux-gnu	4:14.2.0-1	install ok installed
cron	3.0pl1-197	install ok installed
cron-daemon-common	3.0pl1-197	install ok installed
curl	8.14.1-2+deb13u4	install ok installed
dash	0.5.12-12	install ok installed
dbus	1.16.2-2	install ok installed
dbus-bin	1.16.2-2	install ok installed
dbus-daemon	1.16.2-2	install ok installed
dbus-session-bus-common	1.16.2-2	install ok installed
dbus-system-bus-common	1.16.2-2	install ok installed
dbus-user-session	1.16.2-2	install ok installed
dconf-gsettings-backend	0.40.0-5	install ok installed
dconf-service	0.40.0-5	install ok installed
debconf	1.5.91	install ok installed
debconf-utils	1.5.91	install ok installed
debhelper	13.24.2	install ok installed
debian-archive-keyring	2025.1	install ok installed
debianutils	5.23.2	install ok installed
debsums	3.0.2.3	install ok installed
default-jre	2:1.21-76	install ok installed
default-jre-headless	2:1.21-76	install ok installed
default-libmysqlclient-dev	1.1.1	install ok installed
device-tree-compiler	1.7.2-2+b1	install ok installed
dh-autoreconf	20	install ok installed
dh-python	6.20250414	install ok installed
dh-strip-nondeterminism	1.14.1-2	install ok installed
dialog	1.3-20250116-1	install ok installed
diffutils	1:3.10-4	install ok installed
dkms	3.2.2-1~deb13u1	install ok installed
dmsetup	2:1.02.205-2	install ok installed
dosfstools	4.2-1.2	install ok installed
doxygen	1.9.8+ds-2.1	install ok installed
dpkg	1.22.22	install ok installed
dpkg-dev	1.22.22	install ok installed
dracut-install	106-6	install ok installed
dwz	0.15-1+b1	install ok installed
e2fsprogs	1.47.2-3+b11	install ok installed
ethtool	1:6.14.2-1	install ok installed
expect	5.45.4-4	install ok installed
f2fs-tools	1.16.0-1.1+b1	install ok installed
fake-hwclock	0.14	install ok installed
fastfetch	2.67.0	install ok installed
fdisk	2.41.5-0+deb13u1	install ok installed
figlet	2.2.5-3+b2	install ok installed
file	1:5.46-5	install ok installed
findutils	4.10.0-3	install ok installed
flatbuffers-compiler	23.5.26+dfsg-4	install ok installed
flatbuffers-compiler-dev	23.5.26+dfsg-4	install ok installed
flex	2.6.4-8.2+b4	install ok installed
fontconfig	2.15.0-2.3	install ok installed
fontconfig-config	2.15.0-2.3	install ok installed
fontforge-common	1:20230101~dfsg-4	install ok installed
fontforge-nox	1:20230101~dfsg-4+b1	install ok installed
fonts-dejavu-core	2.37-8	install ok installed
fonts-dejavu-mono	2.37-8	install ok installed
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536b	install ok installed
fping	5.1-1+b1	install ok installed
fuse3	3.17.2-3	install ok installed
g++-14	14.2.0-19	install ok installed
g++-14-aarch64-linux-gnu	14.2.0-19	install ok installed
g++	4:14.2.0-1	install ok installed
g++-aarch64-linux-gnu	4:14.2.0-1	install ok installed
gawk	1:5.2.1-2+b2	install ok installed
gcc-14	14.2.0-19	install ok installed
gcc-14-aarch64-linux-gnu	14.2.0-19	install ok installed
gcc-14-base	14.2.0-19	install ok installed
gcc	4:14.2.0-1	install ok installed
gcc-aarch64-linux-gnu	4:14.2.0-1	install ok installed
gettext	0.23.1-2	install ok installed
gettext-base	0.23.1-2	install ok installed
gir1.2-freedesktop	1.84.0-1	install ok installed
gir1.2-freedesktop-dev	1.84.0-1	install ok installed
gir1.2-glib-2.0	2.84.4-3~deb13u3	install ok installed
gir1.2-glib-2.0-dev	2.84.4-3~deb13u3	install ok installed
gir1.2-gudev-1.0	238-6	install ok installed
gir1.2-harfbuzz-0.0	10.2.0-1+deb13u1	install ok installed
girepository-tools	2.84.4-3~deb13u3	install ok installed
git	1:2.47.3-0+deb13u1	install ok installed
git-man	1:2.47.3-0+deb13u1	install ok installed
googletest	1.16.0-1	install ok installed
gperf	3.2.1-1	install ok installed
gpg	2.4.7-21+deb13u1+b4	install ok installed
gpgconf	2.4.7-21+deb13u1+b4	install ok installed
gpgv	2.4.7-21+deb13u1+b4	install ok installed
gpiod	2.2.1-2+deb13u1	install ok installed
grep	3.11-4+b1	install ok installed
groff-base	1.23.0-9	install ok installed
groovy	2.4.21-10	install ok installed
gtk-update-icon-cache	4.18.6+ds-2	install ok installed
gzip	1.13-1	install ok installed
hicolor-icon-theme	0.18-2	install ok installed
hostname	3.25	install ok installed
htop	3.4.1-5	install ok installed
icu-devtools	76.1-4	install ok installed
init	1.69~deb13u1	install ok installed
