adduser  3.152
adwaita-icon-theme  48.1-1
alsa-utils  1.2.14-1
antlr  2.7.7+dfsg-14
apt  3.0.3
apt-utils  3.0.3
armbian-bsp-cli-orangepi5-ultra-vendor  26.11.0-trunk.35
armbian-config  26.8.0-trunk.426.0829.175228
armbian-firmware  26.11.0-trunk.35
at-spi2-common  2.56.2-1+deb13u1
autoconf  2.72-3.1
automake  1:1.17-4
autopoint  0.23.1-2
autotools-dev  20240727.1
base-files  26.11.0-trunk.35-13.8+deb13u6-trixie
base-passwd  3.6.7
bash  5.2.37-2+b9
bash-completion  1:2.16.0-7
bc  1.07.1-4+b1
bcmdhd-sdio-dkms  101.10.591.52.27-6
binutils  2.44-3
binutils-aarch64-linux-gnu  2.44-3
binutils-common:arm64  2.44-3
bison  2:3.8.2+dfsg-1+b2
bsdextrautils  2.41.5-0+deb13u1
bsdutils  1:2.41.5-0+deb13u1
btop  1.3.2-0.1
btrfs-progs  6.14-1
build-essential  12.12
bzip2  1.0.8-6
ca-certificates  20250419
ca-certificates-java  20240118
cmake  3.31.6-2
cmake-data  3.31.6-2
comerr-dev:arm64  2.1-1.47.2-3+b11
console-setup  1.242~deb13u1
console-setup-linux  1.242~deb13u1
coreutils  9.7-3
cpio  2.15+dfsg-2
cpp-14  14.2.0-19
cpp-14-aarch64-linux-gnu  14.2.0-19
cpp  4:14.2.0-1
cpp-aarch64-linux-gnu  4:14.2.0-1
cron  3.0pl1-197
cron-daemon-common  3.0pl1-197
curl  8.14.1-2+deb13u4
dash  0.5.12-12
dbus  1.16.2-2
dbus-bin  1.16.2-2
dbus-daemon  1.16.2-2
dbus-session-bus-common  1.16.2-2
dbus-system-bus-common  1.16.2-2
dbus-user-session  1.16.2-2
dconf-gsettings-backend:arm64  0.40.0-5
dconf-service  0.40.0-5
debconf  1.5.91
debconf-utils  1.5.91
debhelper  13.24.2
debian-archive-keyring  2025.1
debianutils  5.23.2
debsums  3.0.2.3
default-jre  2:1.21-76
default-jre-headless  2:1.21-76
default-libmysqlclient-dev:arm64  1.1.1
device-tree-compiler  1.7.2-2+b1
dh-autoreconf  20
dh-python  6.20250414
dh-strip-nondeterminism  1.14.1-2
dialog  1.3-20250116-1
diffutils  1:3.10-4
dkms  3.2.2-1~deb13u1
dmsetup  2:1.02.205-2
dosfstools  4.2-1.2
doxygen  1.9.8+ds-2.1
dpkg  1.22.22
dpkg-dev  1.22.22
dracut-install  106-6
dwz  0.15-1+b1
e2fsprogs  1.47.2-3+b11
ethtool  1:6.14.2-1
expect  5.45.4-4
f2fs-tools  1.16.0-1.1+b1
fake-hwclock  0.14
fastfetch  2.67.0
fdisk  2.41.5-0+deb13u1
figlet  2.2.5-3+b2
file  1:5.46-5
findutils  4.10.0-3
flatbuffers-compiler  23.5.26+dfsg-4
flatbuffers-compiler-dev:arm64  23.5.26+dfsg-4
flex  2.6.4-8.2+b4
fontconfig  2.15.0-2.3
fontconfig-config  2.15.0-2.3
fontforge-common  1:20230101~dfsg-4
fontforge-nox  1:20230101~dfsg-4+b1
fonts-dejavu-core  2.37-8
fonts-dejavu-mono  2.37-8
fonts-droid-fallback  1:8.1.0r7-1~1.gbp36536b
fping  5.1-1+b1
fuse3  3.17.2-3
g++-14  14.2.0-19
g++-14-aarch64-linux-gnu  14.2.0-19
g++  4:14.2.0-1
g++-aarch64-linux-gnu  4:14.2.0-1
gawk  1:5.2.1-2+b2
gcc-14  14.2.0-19
gcc-14-aarch64-linux-gnu  14.2.0-19
gcc-14-base:arm64  14.2.0-19
gcc  4:14.2.0-1
gcc-aarch64-linux-gnu  4:14.2.0-1
gettext  0.23.1-2
gettext-base  0.23.1-2
gir1.2-freedesktop:arm64  1.84.0-1
gir1.2-freedesktop-dev:arm64  1.84.0-1
gir1.2-glib-2.0:arm64  2.84.4-3~deb13u3
gir1.2-glib-2.0-dev:arm64  2.84.4-3~deb13u3
gir1.2-gudev-1.0:arm64  238-6
gir1.2-harfbuzz-0.0:arm64  10.2.0-1+deb13u1
girepository-tools:arm64  2.84.4-3~deb13u3
git  1:2.47.3-0+deb13u1
git-man  1:2.47.3-0+deb13u1
googletest  1.16.0-1
gperf  3.2.1-1
gpg  2.4.7-21+deb13u1+b4
gpgconf  2.4.7-21+deb13u1+b4
gpgv  2.4.7-21+deb13u1+b4
gpiod  2.2.1-2+deb13u1
grep  3.11-4+b1
groff-base  1.23.0-9
groovy  2.4.21-10
gtk-update-icon-cache  4.18.6+ds-2
gzip  1.13-1
hicolor-icon-theme  0.18-2
hostname  3.25
htop  3.4.1-5
icu-devtools  76.1-4
init  1.69~deb13u1
initramfs-tools  0.148.4
initramfs-tools-bin  0.148.4
initramfs-tools-core  0.148.4
init-system-helpers  1.69~deb13u1
intltool-debian  0.35.0+20060710.6
iproute2  6.15.0-1
iputils-ping  3:20240905-3
ivy  2.5.3-1
iw  6.9-1+b1
java-common  0.76
jq  1.7.1-6+deb13u3
junit4  4.13.2-5
kbd  2.7.1-2
keyboard-configuration  1.242~deb13u1
klibc-utils  2.0.14-1
kmod  34.2-2
krb5-multidev:arm64  1.21.3-5+deb13u1
less  668-1
libabsl20240722:arm64  20240722.0-4
libacl1:arm64  2.3.2-2+b1
libantlr-java  2.7.7+dfsg-14
libaom3:arm64  3.12.1-1+deb13u1
libapache-pom-java  33-2
libapparmor1:arm64  4.1.0-1
libapt-pkg7.0:arm64  3.0.3
libarchive13t64:arm64  3.7.4-4+deb13u1
libarchive-zip-perl  1.68-1
libasan8:arm64  14.2.0-19
libasm-java  9.8-1
libasound2-data  1.2.14-1
libasound2-dev:arm64  1.2.14-1
libasound2t64:arm64  1.2.14-1
libass9:arm64  1:0.17.3-1+deb13u1
libass-dev:arm64  1:0.17.3-1+deb13u1
libassuan9:arm64  3.0.2-2
libasyncns0:arm64  0.8-6+b5
libatk1.0-0t64:arm64  2.56.2-1+deb13u1
libatk-bridge2.0-0t64:arm64  2.56.2-1+deb13u1
libatomic1:arm64  14.2.0-19
libatopology2t64:arm64  1.2.14-1
libatspi2.0-0t64:arm64  2.56.2-1+deb13u1
libattr1:arm64  1:2.5.2-3
libaudit1:arm64  1:4.0.2-2+b2
libaudit-common  1:4.0.2-2
libavahi-client3:arm64  0.8-16
libavahi-client-dev:arm64  0.8-16
libavahi-common3:arm64  0.8-16
libavahi-common-data:arm64  0.8-16
libavahi-common-dev:arm64  0.8-16
libavcodec61:arm64  7:7.1.5-0+deb13u1
libavcodec-dev:arm64  7:7.1.5-0+deb13u1
libavfilter10:arm64  7:7.1.5-0+deb13u1
libavfilter-dev:arm64  7:7.1.5-0+deb13u1
libavformat61:arm64  7:7.1.5-0+deb13u1
libavformat-dev:arm64  7:7.1.5-0+deb13u1
libavutil59:arm64  7:7.1.5-0+deb13u1
libavutil-dev:arm64  7:7.1.5-0+deb13u1
libbinutils:arm64  2.44-3
libblas3:arm64  3.12.1-6
libblkid1:arm64  2.41.5-0+deb13u1
libblkid-dev:arm64  2.41.5-0+deb13u1
libbluetooth3:arm64  5.82-1.1
libbluetooth-dev:arm64  5.82-1.1
libbluray2:arm64  1:1.3.4-1+b2
libbluray-dev:arm64  1:1.3.4-1+b2
libbpf1:arm64  1:1.5.0-3
libbrotli1:arm64  1.1.0-2+b7
libbrotli-dev:arm64  1.1.0-2+b7
libbs2b0:arm64  3.1.0+dfsg-8+b1
libbsd0:arm64  0.12.2-2
libbsf-java  1:2.4.0-8
libbz2-1.0:arm64  1.0.8-6
libbz2-dev:arm64  1.0.8-6
libc6:arm64  2.41-12+deb13u3
libc6-dev:arm64  2.41-12+deb13u3
libcaca0:arm64  0.99.beta20-5+deb13u1
libcairo2:arm64  1.18.4-1+b1
libcairo-gobject2:arm64  1.18.4-1+b1
libcap2:arm64  1:2.75-10+deb13u1+b1
libcap2-bin  1:2.75-10+deb13u1+b1
libcap-dev:arm64  1:2.75-10+deb13u1+b1
libcap-ng0:arm64  0.8.5-4+b1
libc-bin  2.41-12+deb13u3
