adduser  3.152
alsa-utils  1.2.14-1
apt  3.0.3
apt-utils  3.0.3
armbian-bsp-cli-orangepi5-ultra-vendor  26.11.0-trunk.35
armbian-config  26.8.0-trunk.426.0829.175228
armbian-firmware  26.11.0-trunk.35
base-files  26.11.0-trunk.35-13.8+deb13u6-trixie
base-passwd  3.6.7
bash  5.2.37-2+b9
bash-completion  1:2.16.0-7
bc  1.07.1-4+b1
bcmdhd-sdio-dkms  101.10.591.52.27-6
binutils  2.44-3
binutils-aarch64-linux-gnu  2.44-3
binutils-common:arm64  2.44-3
bison  2:3.8.2+dfsg-1+b2
bsdextrautils  2.41.5-0+deb13u1
bsdutils  1:2.41.5-0+deb13u1
btop  1.3.2-0.1
btrfs-progs  6.14-1
bzip2  1.0.8-6
ca-certificates  20250419
cmake  3.31.6-2
cmake-data  3.31.6-2
console-setup  1.242~deb13u1
console-setup-linux  1.242~deb13u1
coreutils  9.7-3
cpio  2.15+dfsg-2
cpp-14  14.2.0-19
cpp-14-aarch64-linux-gnu  14.2.0-19
cpp  4:14.2.0-1
cpp-aarch64-linux-gnu  4:14.2.0-1
cron  3.0pl1-197
cron-daemon-common  3.0pl1-197
curl  8.14.1-2+deb13u4
dash  0.5.12-12
dbus  1.16.2-2
dbus-bin  1.16.2-2
dbus-daemon  1.16.2-2
dbus-session-bus-common  1.16.2-2
dbus-system-bus-common  1.16.2-2
dbus-user-session  1.16.2-2
debconf  1.5.91
debconf-utils  1.5.91
debian-archive-keyring  2025.1
debianutils  5.23.2
debsums  3.0.2.3
device-tree-compiler  1.7.2-2+b1
dialog  1.3-20250116-1
diffutils  1:3.10-4
dkms  3.2.2-1~deb13u1
dmsetup  2:1.02.205-2
dosfstools  4.2-1.2
dpkg  1.22.22
dpkg-dev  1.22.22
dracut-install  106-6
e2fsprogs  1.47.2-3+b11
ethtool  1:6.14.2-1
expect  5.45.4-4
f2fs-tools  1.16.0-1.1+b1
fake-hwclock  0.14
fastfetch  2.67.0
fdisk  2.41.5-0+deb13u1
figlet  2.2.5-3+b2
findutils  4.10.0-3
flex  2.6.4-8.2+b4
fping  5.1-1+b1
fuse3  3.17.2-3
g++-14  14.2.0-19
g++-14-aarch64-linux-gnu  14.2.0-19
g++  4:14.2.0-1
g++-aarch64-linux-gnu  4:14.2.0-1
gcc-14  14.2.0-19
gcc-14-aarch64-linux-gnu  14.2.0-19
gcc-14-base:arm64  14.2.0-19
gcc  4:14.2.0-1
gcc-aarch64-linux-gnu  4:14.2.0-1
git  1:2.47.3-0+deb13u1
git-man  1:2.47.3-0+deb13u1
gpg  2.4.7-21+deb13u1+b4
gpgconf  2.4.7-21+deb13u1+b4
gpgv  2.4.7-21+deb13u1+b4
gpiod  2.2.1-2+deb13u1
grep  3.11-4+b1
groff-base  1.23.0-9
gzip  1.13-1
hostname  3.25
htop  3.4.1-5
init  1.69~deb13u1
initramfs-tools  0.148.4
initramfs-tools-bin  0.148.4
initramfs-tools-core  0.148.4
init-system-helpers  1.69~deb13u1
iproute2  6.15.0-1
iputils-ping  3:20240905-3
iw  6.9-1+b1
jq  1.7.1-6+deb13u3
kbd  2.7.1-2
keyboard-configuration  1.242~deb13u1
klibc-utils  2.0.14-1
kmod  34.2-2
less  668-1
libacl1:arm64  2.3.2-2+b1
libapparmor1:arm64  4.1.0-1
libapt-pkg7.0:arm64  3.0.3
libarchive13t64:arm64  3.7.4-4+deb13u1
libasan8:arm64  14.2.0-19
libasound2-data  1.2.14-1
libasound2t64:arm64  1.2.14-1
libassuan9:arm64  3.0.2-2
libatomic1:arm64  14.2.0-19
libatopology2t64:arm64  1.2.14-1
libattr1:arm64  1:2.5.2-3
libaudit1:arm64  1:4.0.2-2+b2
libaudit-common  1:4.0.2-2
libbinutils:arm64  2.44-3
libblkid1:arm64  2.41.5-0+deb13u1
libbpf1:arm64  1:1.5.0-3
libbrotli1:arm64  1.1.0-2+b7
libbsd0:arm64  0.12.2-2
libbz2-1.0:arm64  1.0.8-6
libc6:arm64  2.41-12+deb13u3
libc6-dev:arm64  2.41-12+deb13u3
libcaca0:arm64  0.99.beta20-5+deb13u1
libcap2:arm64  1:2.75-10+deb13u1+b1
libcap2-bin  1:2.75-10+deb13u1+b1
libcap-ng0:arm64  0.8.5-4+b1
libc-bin  2.41-12+deb13u3
libcbor0.10:arm64  0.10.2-2
libcc1-0:arm64  14.2.0-19
libc-dev-bin  2.41-12+deb13u3
libc-l10n  2.41-12+deb13u3
libcom-err2:arm64  1.47.2-3+b11
libcrypt1:arm64  1:4.4.38-1
libcrypt-dev:arm64  1:4.4.38-1
libctf0:arm64  2.44-3
