adwaita-icon-theme  48.1-1
antlr  2.7.7+dfsg-14
at-spi2-common  2.56.2-1+deb13u1
autoconf  2.72-3.1
automake  1:1.17-4
autopoint  0.23.1-2
autotools-dev  20240727.1
build-essential  12.12
ca-certificates-java  20240118
comerr-dev:arm64  2.1-1.47.2-3+b11
dconf-gsettings-backend:arm64  0.40.0-5
dconf-service  0.40.0-5
debhelper  13.24.2
default-jre  2:1.21-76
default-jre-headless  2:1.21-76
default-libmysqlclient-dev:arm64  1.1.1
dh-autoreconf  20
dh-python  6.20250414
dh-strip-nondeterminism  1.14.1-2
doxygen  1.9.8+ds-2.1
dwz  0.15-1+b1
file  1:5.46-5
flatbuffers-compiler  23.5.26+dfsg-4
flatbuffers-compiler-dev:arm64  23.5.26+dfsg-4
fontconfig  2.15.0-2.3
fontconfig-config  2.15.0-2.3
fontforge-common  1:20230101~dfsg-4
fontforge-nox  1:20230101~dfsg-4+b1
fonts-dejavu-core  2.37-8
fonts-dejavu-mono  2.37-8
fonts-droid-fallback  1:8.1.0r7-1~1.gbp36536b
gawk  1:5.2.1-2+b2
gettext  0.23.1-2
gettext-base  0.23.1-2
gir1.2-freedesktop:arm64  1.84.0-1
gir1.2-freedesktop-dev:arm64  1.84.0-1
gir1.2-glib-2.0:arm64  2.84.4-3~deb13u3
gir1.2-glib-2.0-dev:arm64  2.84.4-3~deb13u3
gir1.2-gudev-1.0:arm64  238-6
gir1.2-harfbuzz-0.0:arm64  10.2.0-1+deb13u1
girepository-tools:arm64  2.84.4-3~deb13u3
googletest  1.16.0-1
gperf  3.2.1-1
groovy  2.4.21-10
gtk-update-icon-cache  4.18.6+ds-2
hicolor-icon-theme  0.18-2
icu-devtools  76.1-4
intltool-debian  0.35.0+20060710.6
ivy  2.5.3-1
java-common  0.76
junit4  4.13.2-5
krb5-multidev:arm64  1.21.3-5+deb13u1
libabsl20240722:arm64  20240722.0-4
libantlr-java  2.7.7+dfsg-14
libaom3:arm64  3.12.1-1+deb13u1
libapache-pom-java  33-2
libarchive-zip-perl  1.68-1
libasm-java  9.8-1
libasound2-dev:arm64  1.2.14-1
libass9:arm64  1:0.17.3-1+deb13u1
libass-dev:arm64  1:0.17.3-1+deb13u1
libasyncns0:arm64  0.8-6+b5
libatk1.0-0t64:arm64  2.56.2-1+deb13u1
libatk-bridge2.0-0t64:arm64  2.56.2-1+deb13u1
libatspi2.0-0t64:arm64  2.56.2-1+deb13u1
libavahi-client3:arm64  0.8-16
libavahi-client-dev:arm64  0.8-16
libavahi-common3:arm64  0.8-16
libavahi-common-data:arm64  0.8-16
libavahi-common-dev:arm64  0.8-16
libavcodec61:arm64  7:7.1.5-0+deb13u1
libavcodec-dev:arm64  7:7.1.5-0+deb13u1
libavfilter10:arm64  7:7.1.5-0+deb13u1
libavfilter-dev:arm64  7:7.1.5-0+deb13u1
libavformat61:arm64  7:7.1.5-0+deb13u1
libavformat-dev:arm64  7:7.1.5-0+deb13u1
libavutil59:arm64  7:7.1.5-0+deb13u1
libavutil-dev:arm64  7:7.1.5-0+deb13u1
libblas3:arm64  3.12.1-6
libblkid-dev:arm64  2.41.5-0+deb13u1
libbluetooth3:arm64  5.82-1.1
libbluetooth-dev:arm64  5.82-1.1
libbluray2:arm64  1:1.3.4-1+b2
libbluray-dev:arm64  1:1.3.4-1+b2
libbrotli-dev:arm64  1.1.0-2+b7
libbs2b0:arm64  3.1.0+dfsg-8+b1
libbsf-java  1:2.4.0-8
libbz2-dev:arm64  1.0.8-6
libcairo2:arm64  1.18.4-1+b1
libcairo-gobject2:arm64  1.18.4-1+b1
libcap-dev:arm64  1:2.75-10+deb13u1+b1
libcdio19t64:arm64  2.2.0-4.1~deb13u1
libcdio++1t64:arm64  2.2.0-4.1~deb13u1
libcdio++-dev  2.2.0-4.1~deb13u1
libcdio-dev  2.2.0-4.1~deb13u1
libcec7:arm64  7.0.0-1+b1
libcec-dev:arm64  7.0.0-1+b1
libchromaprint1:arm64  1.5.1-7
libcjson1:arm64  1.7.18-3.1+deb13u1
libclang1-19  1:19.1.7-3+b1
libclang-cpp19  1:19.1.7-3+b1
libcloudproviders0:arm64  0.3.6-2
libcodec2-1.2:arm64  1.2.0-3
libcolord2:arm64  1.4.7-3
libcommons-cli-java  1.6.0-1
libcommons-lang-java  2.6-10+deb13u1
libcommons-logging-java  1.3.0-2
libcommons-parent-java  56-1
libcrossguid0:arm64  0.0+git200150803-6+b2
libcrossguid-dev:arm64  0.0+git200150803-6+b2
libcups2t64:arm64  2.4.10-3+deb13u2
libcurl4-openssl-dev:arm64  8.14.1-2+deb13u4
libcwiid1t64  0.6.91-11
libcwiid-dev  0.6.91-11
libdate-tz3:arm64  3.0.3+ds-2
libdatrie1:arm64  0.2.13-3+b1
libdav1d7:arm64  1.5.1-1
libdav1d-dev:arm64  1.5.1-1
libdbus-1-dev:arm64  1.16.2-2
libdconf1:arm64  0.40.0-5
libdebhelper-perl  13.24.2
libdecor-0-0:arm64  0.2.2-2
libdeflate0:arm64  1.23-2
libdisplay-info2:arm64  0.2.0-2
libdisplay-info-dev:arm64  0.2.0-2
libdrm-tests  2.4.124-2
libdvdnav4:arm64  6.1.1-3+b1
libdvdread8t64:arm64  6.1.3-2
