Scene selection scan. ffmpeg signalstats over the eMMC copy, 3 frames per
sample point, 10-bit scale (neutral chroma = 512, so SATAVG is distance from
neutral). Higher SATAVG means more chroma, which is where a BT.601-vs-BT.2020
matrix error is largest. Gate MP1b-CSC used t=1200, SATAVG 17.0.

== coarse pass, 150 s grid ==
t        YAVG      SATAVG    SATMAX   
90       196.2     29.50     128.2    
240      352.7     24.78     100.2    
390      318.0     24.48     112.0    
540      346.9     14.52     89.8     
690      358.9     15.32     82.5     
840      290.1     22.27     96.0     
990      235.1     21.35     111.5    
1140     280.7     24.11     107.2    
1290     259.0     18.58     78.8     
1440     296.4     20.73     77.2     
1590     196.1     19.31     120.0    
1740     226.8     30.53     87.5     
1890     189.2     25.16     96.8     
2040     173.1     20.37     95.0     
2190     263.2     10.63     68.0     
2340     238.7     27.17     90.0     
2490     280.6     13.93     89.8     
2640     153.6     6.67      96.0     
2790     342.1     17.34     80.0     
2940     255.3     23.54     121.5    
3090     164.7     6.74      73.0     
3240     291.7     8.97      54.2     
3390     320.8     10.50     70.8     
3540     381.9     10.93     83.8     
3690     327.2     25.08     131.2    
3840     244.5     26.25     111.0    
3990     330.4     26.34     77.0     
4140     240.9     27.84     73.0     
4290     157.1     11.41     38.2     
4440     167.8     16.17     40.2     
4590     310.3     12.93     88.5     
4740     310.2     16.89     66.2     
4890     172.5     11.72     152.5    
5040     172.5     22.95     90.5     
5190     200.7     24.90     92.0     
5340     197.1     25.78     123.0    
5490     251.7     51.27     133.2    
5640     176.9     15.45     88.0     
5790     167.1     12.67     182.0    
5940     290.0     15.96     71.8     
6090     90.3      3.92      11.0     
6240     89.7      3.92      9.5      

== fine pass around the maximum, 10 s grid ==
t        YAVG      SATAVG    SATMAX   
5400     261.4     49.87     133.8    
5410     263.2     50.44     135.0    
5420     262.1     50.75     132.8    
5430     261.9     51.02     132.2    
5440     263.6     51.92     132.2    
5450     244.3     46.12     118.2    
5460     253.5     51.93     134.2    
5470     250.2     50.92     132.0    
5480     249.4     50.93     135.0    
5490     251.7     51.27     133.2    
5500     180.4     11.54     96.0     
5510     161.5     9.41      94.8     
5520     159.4     9.19      75.5     
5530     154.0     8.66      74.2     
5540     178.2     11.21     97.5     
5550     168.1     19.64     115.2    
5560     157.5     17.62     111.0    
5570     141.9     10.89     87.2     
5580     191.7     17.79     126.0    
5590     234.6     26.54     100.2    
5600     135.6     7.12      115.8    
