cycle	phase	event	timestamp_ns	clock
1	stop	stop_request_wrapper	1789144457690790190	CLOCK_REALTIME
1	stop	process_gone	1789144460924408801	CLOCK_REALTIME
1	stop	drm_released	1789144460932720344	CLOCK_REALTIME
1	start	start_request_wrapper	1789144501876134862	CLOCK_REALTIME
1	start	process_created	1789144508146056983	CLOCK_REALTIME
1	start	drm_master	1789144509023235654	CLOCK_REALTIME
1	start	jsonrpc_ready	1789144509594455791	CLOCK_REALTIME
2	stop	stop_request_wrapper	1789144594131425197	CLOCK_REALTIME
2	stop	process_gone	1789144598360952345	CLOCK_REALTIME
2	stop	drm_released	1789144598368784097	CLOCK_REALTIME
2	start	start_request_wrapper	1789144626017817401	CLOCK_REALTIME
2	start	process_created	1789144632165837017	CLOCK_REALTIME
2	start	drm_master	1789144633162177527	CLOCK_REALTIME
2	start	jsonrpc_ready	1789144633653367292	CLOCK_REALTIME
3	stop	stop_request_wrapper	1789144658050143402	CLOCK_REALTIME
3	stop	process_gone	1789144662286250692	CLOCK_REALTIME
3	stop	drm_released	1789144662294134067	CLOCK_REALTIME
3	start	start_request_wrapper	1789144690018652236	CLOCK_REALTIME
3	start	process_created	1789144696136397533	CLOCK_REALTIME
3	start	drm_master	1789144696896915137	CLOCK_REALTIME
3	start	jsonrpc_ready	1789144697464765064	CLOCK_REALTIME
